dataset,estimator,train_source,generator,rmse,r2,delta_rmse,delta_r2
california_housing,Ridge,REAL_TRTR,REAL,0.3272848044335107,0.8916603326797485,0.0,0.0
california_housing,Ridge,TSTR,DSB,0.3996058705344963,0.8384899497032166,0.0723210661009856,-0.05317038297653198
california_housing,Ridge,TSTR,CTGAN,0.4286031044312235,0.814199686050415,0.1013182999977128,-0.0774606466293335
california_housing,Ridge,TSTR,TabDDPM,0.33304779170726917,0.8878113627433777,0.0057629872737584575,-0.0038489699363708496
california_housing,RF,REAL_TRTR,REAL,0.27175609571780157,0.9253045101206634,0.0,0.0
california_housing,RF,TSTR,DSB,0.39444173175858016,0.8426374064726165,0.12268563604077859,-0.08266710364804686
california_housing,RF,TSTR,CTGAN,0.3382312826595156,0.8842920135453148,0.066475186941714,-0.041012496575348556
california_housing,RF,TSTR,TabDDPM,0.2892880043385101,0.9153559096780904,0.017531908620708525,-0.009948600442572952
california_housing,CatBoost,REAL_TRTR,REAL,0.24924786975213223,0.9371654221893915,0.0,0.0
california_housing,CatBoost,TSTR,DSB,0.3875145129749323,0.8481161017709093,0.13826664322280005,-0.08904932041848213
california_housing,CatBoost,TSTR,CTGAN,0.34889622881070753,0.8768800752479697,0.0996483590585753,-0.060285346941421736
california_housing,CatBoost,TSTR,TabDDPM,0.27650578794155545,0.9226706705790784,0.02725791818942322,-0.014494751610313106
king_county_housing,Ridge,REAL_TRTR,REAL,0.5649093051715308,0.6943592429161072,0.0,0.0
king_county_housing,Ridge,TSTR,DSB,0.6189034666611806,0.6331406235694885,0.05399416148964975,-0.06121861934661865
king_county_housing,Ridge,TSTR,CTGAN,0.5900164976480504,0.6665873527526855,0.025107192476519602,-0.02777189016342163
king_county_housing,Ridge,TSTR,TabDDPM,0.8257856616116194,0.3468867540359497,0.26087635644008855,-0.34747248888015747
king_county_housing,RF,REAL_TRTR,REAL,0.5334729152491271,0.7274297043642693,0.0,0.0
king_county_housing,RF,TSTR,DSB,0.633713990820729,0.6153724698685534,0.10024107557160189,-0.11205723449571592
king_county_housing,RF,TSTR,CTGAN,0.5986298983726414,0.6567815838370283,0.06515698312351426,-0.07064812052724101
king_county_housing,RF,TSTR,TabDDPM,0.5634253673824536,0.6959629090813626,0.029952452133326535,-0.031466795282906745
king_county_housing,CatBoost,REAL_TRTR,REAL,0.5397961861119195,0.7209298415957723,0.0,0.0
king_county_housing,CatBoost,TSTR,DSB,0.5931564017585668,0.6630292385271855,0.05336021564664728,-0.0579006030685868
king_county_housing,CatBoost,TSTR,CTGAN,0.6043367755983134,0.6502064302621027,0.06454058948639396,-0.07072341133366966
king_county_housing,CatBoost,TSTR,TabDDPM,0.5704543383862473,0.6883296059468773,0.030658152274327777,-0.032600235648895026
diabetes,Ridge,REAL_TRTR,REAL,0.7852925044776666,0.2456601858139038,0.0,0.0
diabetes,Ridge,TSTR,DSB,0.817860453522205,0.18179422616958618,0.03256794904453841,-0.06386595964431763
diabetes,Ridge,TSTR,CTGAN,1.743271699889323,-2.7173573970794678,0.9579791954116563,-2.9630175828933716
diabetes,Ridge,TSTR,TabDDPM,0.9082482111414737,-0.009051322937011719,0.12295570666380706,-0.2547115087509155
diabetes,RF,REAL_TRTR,REAL,0.7972454869520024,0.222521714830603,0.0,0.0
diabetes,RF,TSTR,DSB,0.8050522836592114,0.20722070028997286,0.007806796707209074,-0.015301014540630153
diabetes,RF,TSTR,CTGAN,1.7375737078571107,-2.6930960421919172,0.9403282209051084,-2.9156177570225204
diabetes,RF,TSTR,TabDDPM,1.266107220070734,-0.9608532843468973,0.4688617331187316,-1.1833749991775004
diabetes,CatBoost,REAL_TRTR,REAL,0.8245139487194623,0.1684274525560655,0.0,0.0
diabetes,CatBoost,TSTR,DSB,0.8155276385250665,0.1864551556003593,-0.008986310194395775,0.018027703044293797
diabetes,CatBoost,TSTR,CTGAN,1.7809919811292032,-2.8799672275002055,0.9564780324097409,-3.048394680056271
diabetes,CatBoost,TSTR,TabDDPM,1.0247543751145456,-0.28452834345071,0.20024042639508333,-0.4529557960067755
online_news_popularity,Ridge,REAL_TRTR,REAL,0.9346026152924596,-0.004767298698425293,0.0,0.0
online_news_popularity,Ridge,TSTR,DSB,0.9553193331877431,-0.0498049259185791,0.02071671789528351,-0.04503762722015381
online_news_popularity,Ridge,TSTR,CTGAN,0.9298665491359313,0.005390167236328125,-0.004736066156528329,0.010157465934753418
online_news_popularity,Ridge,TSTR,TabDDPM,18.993777410569642,-413.9867248535156,18.059174795277183,-413.9819575548172
online_news_popularity,RF,REAL_TRTR,REAL,0.9240510453333917,0.0177921321951392,0.0,0.0
online_news_popularity,RF,TSTR,DSB,0.9334396195036376,-0.0022681835621503055,0.009388574170245967,-0.020060315757289504
online_news_popularity,RF,TSTR,CTGAN,0.9236024642500296,0.018745527414868346,-0.00044858108336209845,0.0009533952197291473
online_news_popularity,RF,TSTR,TabDDPM,17.41516759505676,-347.87255016398336,16.49111654972337,-347.8903422961785
online_news_popularity,CatBoost,REAL_TRTR,REAL,0.9274681356316585,0.010514398595900087,0.0,0.0
